"","confirmed","dec"
"DZA",265671,6874
"AGO",99169,1900
"BEN",26952,163
"BWA",305526,2686
"BFA",20853,382
"BDI",38509,38
"CPV",55952,401
"CMR",119544,1927
"CAF",14649,113
"TCD",7310,191
"COM",8086,160
"COG",24071,385
"COD",86748,1337
"CIV",81741,796
"DJI",15587,189
"EGY",505264,24417
"GNQ",16000,183
"ERI",9728,103
"SWZ",69771,1394
"ETH",469758,7497
"GAB",47584,303
"GMB",11988,365
"GHA",160971,1445
"GIN",36459,440
"GNB",8149,170
"KEN",323423,5648
"LSO",32910,697
"LBR",7400,294
"LBY",501705,6415
"MDG",64009,1384
"MWI",85640,2626
"MLI",30484,727
"MRT",58669,982
"MUS",210343,968
"MAR",1163274,16060
"MOZ",225256,2200
"NAM",157646,4019
"NER",8801,308
"NGA",255415,3142
"RWA",129722,1459
"STP",5945,73
"SEN",85895,1964
"SYC",40421,164
"SLE",7674,125
"SOM",26410,1361
"ZAF",3718954,100032
"SSD",17262,138
"SDN",61955,4907
"TZA",33815,800
"TGO",36939,272
"TUN",1035884,28323
"UGA",163905,3596
"ZMB",316850,3966
"ZWE",246286,5444
