Code_ISO,Pop_Tot
DZA,43053054
AGO,31825295
BEN,11801151
BWA,2303697
BFA,20321378
BDI,11530580
CMR,25876380
CPV,549935
CAF,4745185
TCD,15946876
COM,850886
COG,5380508
CIV,25716544
COD,86790567
DJI,973560
EGY,100388073
GNQ,1355986
ERI,3497000
SWZ,1148130
ETH,112078730
GAB,2172579
GMB,2347706
GHA,30417856
GIN,12771246
GNB,1920922
KEN,52573973
LSO,2125268
LBR,4937374
LBY,6777452
MDG,26969307
MWI,18628747
MLI,19658031
MRT,4525696
MUS,1265711
MAR,36471769
MOZ,30366036
NAM,2494530
NER,23310715
NGA,200963599
RWA,12626950
STP,215056
SEN,16296364
SYC,97625
SLE,7813215
SOM,15442905
ZAF,58558270
SSD,11062113
SDN,42813238
TZA,58005463
TGO,8082366
TUN,11694719
UGA,44269594
ZMB,17861030
ZWE,14645468
