conf_Sep20,conf_Mar21,conf_Sep21,conf_Mar22,death_Sep20,death_Mar21,death_Sep21,death_Mar22
1196.895347,2722.036862,4723.45121,6170.781752,40.32234275,71.8415934,134.9962305,159.6634701
156.2279313,701.0461333,1777.925389,3116.043386,5.750143086,16.87337069,48.29491761,59.70093914
199.7262809,601.6362302,2024.378808,2283.845025,3.474237386,7.626374749,13.47326206,13.81221205
1376.91719,17297.41368,77796.68941,132624.2123,6.945357831,246.560203,1027.912959,1165.951946
101.1742412,625.794176,700.8875087,1026.160726,2.854137155,7.18455215,9.054504079,18.79793782
44.05676037,243.6997965,1537.476866,3339.727923,0.086725906,0.520355437,3.295584437,3.295584437
232.7991782,675.133075,1452.135113,2162.280814,2.318716915,6.492407361,13.10075057,15.49675805
37891.75084,86681.15323,167843.4724,217378.4174,760.0898288,1311.064035,2653.040814,3504.050479
1017.663168,1087.628828,2396.323852,3087.129374,13.06587625,14.11957595,21.07399395,23.81361317
75.24984831,284.256302,315.9239465,458.3969926,5.330197589,10.28414594,10.911228,11.97726752
562.9426269,4343.707618,4866.691895,9503.035659,8.226718973,171.5858529,172.7610984,188.0392908
945.8214726,1799.272485,2647.333672,4473.741141,16.54118905,25.09056766,35.87021895,71.55458184
414.4802661,1094.315006,2214.022226,3373.237088,10.5768489,28.89190709,42.15185369,51.98987858
227.2597205,505.6885963,694.2344322,941.8189421,1.382638738,2.811365433,7.189721436,9.171503627
5563.088048,8219.318789,13158.92189,16010.31267,62.6566416,71.90106414,171.5353959,194.1328732
1027.990646,2013.496165,3033.46793,5033.107867,59.07076232,119.4863059,172.6400307,243.2261052
3709.477826,5098.872702,9116.613298,11799.53185,61.21007149,75.22201557,108.4081989,134.9571456
107.2347727,939.3766085,1922.219045,2781.812983,0,2.859593938,12.01029454,29.45381756
4774.720633,15100.20642,39998.95482,60769.25087,94.93698449,580.9446665,1062.597441,1214.148224
672.455871,1843.248938,3084.206968,4191.321583,10.68891484,25.56238815,49.80427598,66.89047958
4034.836017,8998.522033,13879.81749,21902.08043,24.85525267,54.31332992,85.61253699,139.4655845
1524.466863,2325.248562,4231.364575,5106.261176,47.70614378,70.28137254,143.9703268,155.470915
1532.849653,2977.954791,4191.025166,5291.990336,9.895503483,24.42644215,38.00399344,47.5049918
834.0611402,1558.81423,2381.208537,2854.772353,5.167859111,9.787611953,29.67603944,34.45239407
1209.835693,1900.129209,3179.202487,4242.233677,20.30275045,32.79675073,70.27875156,88.49916863
732.8531173,2549.892891,4744.43885,6151.770192,13.52380198,40.9518223,97.44365335,107.4295831
750.4935848,5037.482332,6773.263419,15485.10588,16.93904016,148.2166014,189.623144,327.9586386
271.1967941,415.8080794,1174.510985,1498.772424,16.60801876,17.2156292,57.92552883,59.54582335
5094.09731,23453.79945,50178.73974,74025.60726,81.29898965,393.5107176,686.2460996,946.5209049
608.395314,905.696242,1590.623,2373.401734,8.528213202,15.49910051,35.52186194,51.31759596
309.897386,1801.033639,3305.643691,4597.195936,9.608805144,59.96109132,122.4988455,140.9649291
158.6120197,510.8344778,774.1874046,1550.71482,6.663943098,19.58487094,27.87664746,36.9823407
1657.645586,3943.481842,7961.206409,12963.53091,35.57463869,99.21125944,171.2443788,216.9831999
301.0165828,760.8371895,12400.14506,166185.6459,7.900697711,7.900697711,66.36586077,764.7875384
3390.375718,13602.21929,25583.37656,31895.18995,60.15611691,241.7760433,391.1792707,440.3405823
287.4263865,2225.479809,4963.53887,7418.024532,2.008823279,25.5219351,63.1297414,72.44936415
4515.880747,17694.31516,51147.51075,63196.67432,48.50613142,209.6587333,1407.479565,1611.125142
51.34977627,214.536534,257.7355521,377.5516967,2.960012166,7.97916323,8.622644136,13.21280793
292.8291506,810.5497752,1023.961558,1270.951562,5.533340394,10.23568452,13.53976548,15.63467223
383.3071328,1725.119684,7722.925964,10273.42311,2.296674969,24.3130764,100.8161116,115.5465096
4236.105944,10336.8425,16084.18272,27643.9625,69.74927461,158.0983558,232.497582,339.4464698
919.3461805,2375.069678,4527.083465,5270.807648,19.08401162,64.49291388,114.0131627,120.5176811
1444.302177,42140.84507,219953.9052,414043.5339,0,204.865557,1147.247119,1679.897567
285.5418672,509.3933803,818.357104,982.1821107,9.215156629,10.11107463,15.48658267,15.99853581
232.3397055,738.0735684,1293.798026,1710.170463,6.410710938,34.25521299,71.94242275,88.13108674
11515.69198,26437.88828,49568.9678,63508.60434,285.7666389,902.4515239,1496.389835,1708.247187
244.4379297,918.9022025,1085.687698,1560.461369,4.42953349,9.853452048,11.75182354,12.47501269
318.7331918,743.5317086,894.1860459,1447.099143,19.5266707,48.18603069,67.78277317,114.6140827
8.775035551,8.775035551,445.5787207,582.9623324,0.362034866,0.362034866,0.861987775,13.7918044
220.7274454,1268.069276,3146.23218,4570.320127,5.938855033,13.48614997,28.33328755,33.65351186
1574.471349,21720.74421,60470.88434,88577.07483,22.65980055,753.5024997,2128.311078,2421.862381
183.6249052,923.1392545,2791.351554,3702.428353,1.694165074,7.567270664,71.29046632,81.22956809
826.3241258,4950.330412,11704.02827,17739.73841,18.58795377,67.63327759,204.2435403,222.0476647
535.1826244,2518.321709,8932.456102,16816.53328,15.5679559,103.9912142,315.6607901,371.7190874
