30/9/2020,,,,,,
,Variable,Corr,pvalue,Variable,Corr,pvalue
1,lack_hygien,-0.6892916,2.23E-08,lack_hygien,-0.615489,1.53E-06
2,med_1000,0.6245466,9.69E-07,med_1000,0.5593477,1.98E-05
3,urb_pop,0.578009,1.31E-05,urb_pop,0.5377376,6.18E-05
4,alphab,0.5080543,1.74E-04,alphab,0.4097738,3.04E-03
5,epi,0.3755544,6.61E-03,lat_abs,0.3714027,7.62E-03
6,lat_abs,0.300724,3.24E-02,epi,0.3298036,1.81E-02
7,arriv,0.1840724,1.95E-01,arriv,0.158733,2.65E-01
8,gini,0.1459309,3.07E-01,gini,0.0219462,8.79E-01
,,,,,,
,,,,,,
31/03/2021,,,,,,
,Variable,Corr,pvalue,Variable,Corr,pvalue
1,lack_hygien,-0.7286138,1.35E-09,lack_hygien,-0.6814634,3.70E-08
2,med_1000,0.6797113,4.14E-08,med_1000,0.6250133,9.46E-07
3,alphab,0.6231674,1.88E-06,lat_abs,0.5325792,7.44E-05
4,epi,0.5082813,1.40E-04,alphab,0.4872398,3.41E-04
5,urb_pop,0.46181,7.37E-04,epi,0.4675084,5.42E-04
6,lat_abs,0.4013575,3.75E-03,urb_pop,0.4156561,2.62E-03
7,pm25,-0.3903167,4.90E-03,pm25,-0.3527602,1.15E-02
8,arriv,0.3335747,1.72E-02,arriv,0.3422624,1.44E-02
9,gini,0.2478337,7.95E-02,gini,0.1391434,3.30E-01
,,,,,,
30/9/2021,,,,,,
,Variable,Corr,pvalue,Variable,Corr,pvalue
1,lack_hygien,-0.7352655,8.03E-10,lack_hygien,-0.7297903,1.24E-09
2,alphab,0.6504072,5.36E-07,med_1000,0.6312671,6.82E-07
3,med_1000,0.6400412,4.26E-07,alphab,0.5521267,3.62E-05
4,epi,0.4943886,2.27E-04,epi,0.4932573,2.35E-04
5,pm25,-0.4433484,1.25E-03,lat_abs,0.4874208,3.39E-04
6,urb_pop,0.4262443,1.98E-03,pm25,-0.4125792,2.83E-03
7,arriv,0.3504977,1.21E-02,arriv,0.4038914,3.52E-03
8,lat_abs,0.3462443,1.32E-02,urb_pop,0.3795475,6.32E-03
9,gini,0.3205502,2.18E-02,gini,0.1895065,1.83E-01
,,,,,,
3/31/2022,,,,,,
,Variable,Corr,pvalue,Variable,Corr,pvalue
1,lack_hygien,-0.7385687,6.16E-10,lack_hygien,-0.7637729,7.08E-11
2,alphab,0.6734842,1.79E-07,med_1000,0.6557226,1.76E-07
3,med_1000,0.6614164,1.27E-07,alphab,0.5809955,1.16E-05
4,epi,0.4943886,2.27E-04,epi,0.5312245,6.05E-05
5,pm25,-0.4477828,1.10E-03,lat_abs,0.5100452,1.62E-04
6,urb_pop,0.4180995,2.46E-03,pm25,-0.4094118,3.07E-03
7,arriv,0.3698643,7.89E-03,urb_pop,0.3923077,4.67E-03
8,lat_abs,0.3666063,8.48E-03,arriv,0.3916742,4.75E-03
9,gini,0.30693,2.85E-02,gini,0.1591439,2.65E-01
